Publisher Title,Publisher Name,Views,Visits,Period Name
Colchester Hospital University NHS Foundation Trust,colchester-hospital-university-nhs-foundation-trust,87,12,all
Oldham Primary Care Trust,oldham-primary-care-trust,87,0,all
Swindon Primary Care Trust,swindon-primary-care-trust,87,16,all
NHS Central Lancashire,nhs-central-lancashire,86,8,all
West Lindsey District Council,west-lindsey-district-council,86,5,all
NHS Canterbury and Coastal CCG,nhs-canterbury-and-coastal-ccg,86,20,all
School Food Trust,school-food-trust,85,26,all
St George's Healthcare NHS Trust,st-george-s-healthcare-nhs-trust,85,14,all
NHS West Sussex,nhs-west-sussex,85,3,all
NHS North Manchester CCG,nhs-north-manchester-ccg,84,14,all
London Borough of Waltham Forest,london-borough-of-waltham-forest,84,12,all
Cyngor Gwynedd Council,gwynedd-council,84,9,all
Leicestershire Partnership NHS Trust,leicestershire-partnership-nhs-trust,84,16,all
London Borough of Lambeth,london-borough-of-lambeth,84,29,all
Plymouth Hospitals NHS Trust,plymouth-hospitals-nhs-trust,83,16,all
Human Tissue Authority,human-tissue-authority,83,22,all
NHS Plymouth (PCT),nhs-plymouth,83,10,all
NHS Newark & Sherwood CCG,nhs-newark-sherwood-ccg,83,7,all
NHS North East Lincolnshire CCG,north-east-lincolnshire-ccg,82,2,all
East Cheshire NHS Trust,east-cheshire-nhs-trust,82,18,all
NHS Barnsley CCG,nhs-barnsley-ccg,82,4,all
Dacorum Borough Council,dacorum-borough-council,82,30,all
London Borough of Harrow,london-borough-of-harrow,82,15,all
London Borough of Bexley,london-borough-of-bexley,81,10,all
The National Museum of the Royal Navy,the-national-museum-of-the-royal-navy,81,3,all
Brighton and Hove City Council,brighton-and-hove-city-council,81,21,all
NHS Doncaster CCG,nhs-doncaster-ccg,80,9,all
British Educational Communications and Technology Agency,british-educational-communications-and-technology-agency,80,15,all
"Wrightington, Wigan & Leigh NHS Foundation Trust",wrightington-wigan-leigh-nhs-foundation-trust,80,12,all
NHS Rushcliffe CCG,nhs-rushcliffe-ccg,79,3,all
Heart of Birmingham teaching Primary Care Trust,heart-of-birmingham-teaching-primary-care-trust,79,4,all
NHS Sheffield CCG,nhs-sheffield-ccg,79,12,all
NHS South Sefton CCG,nhs-south-sefton-ccg,79,12,all
Office for Fair Access,office-for-fair-access,78,1,all
Doncaster PCT,doncaster-pct,78,1,all
NHS Isle of Wight CCG,nhs-isle-of-wight-ccg,77,11,all
Learning and Skills Council,learning-and-skills-council-skills-funding-agency,76,13,all
NHS Liverpool CCG,nhs-liverpool-ccg,76,15,all
Broxbourne Borough Council,broxbourne-borough-council,76,13,all
Birmingham Children's NHS Foundation Trust,birmingham-childrens-nhs-foundation-trust,76,4,all
NHS Wigan Borough CCG,nhs-wigan-borough-ccg,76,3,all
Shropshire County Primary Care Trust,shropshire-county-primary-care-trust,76,16,all
West Sussex County Council,west-sussex-county-council,76,22,all
NHS Hardwick CCG,nhs-hardwick-ccg,76,1,all
Regional Development Agencies,regional-development-agencies,76,14,all
Standards and Testing Agency,standards-and-testing-agency,75,11,all
Middlesbrough Primary Care Trust,middlesbrough-primary-care-trust,75,6,all
Public Lending Right,public-lending-right,75,3,all
NHS Nottingham West CCG,nhs-nottingham-west-ccg,75,6,all
Birmingham East and North Primary Care Trust,birmingham-east-and-north-primary-care-trust,75,5,all
Tonbridge and Malling Borough Council,tonbridge-and-malling-borough-council,74,5,all
London Borough of Hounslow,london-borough-of-hounslow,74,8,all
NHS Birmingham South and Central CCG,nhs-birmingham-south-and-central-ccg,73,3,all
Liverpool Heart and Chest Hospital NHS Foundation Trust,liverpool-heart-and-chest-hospital-nhs-foundation-trust,73,8,all
North Tyneside Primary Care Trust,north-tyneside-primary-care-trust,73,7,all
Southampton University Hospitals NHS Trust,southampton-university-hospitals-nhs-trust,73,10,all
Craven District Council,craven-district-council,72,9,all
NHS Bassetlaw CCG,nhs-bassetlaw-ccg,72,13,all
Bassetlaw District Council,bassetlaw-district-council,72,5,all
Dartford and Gravesham NHS Trust,dartford-and-gravesham-nhs-trust,72,4,all
UK Anti-Doping,uk-anti-doping,72,5,all
Chelmsford City Council,chelmsford-city-council,71,1,all
The Institute of Food Research,the-institute-of-food-research,71,28,all
North East Strategic Health Authority,north-east-strategic-health-authority,71,9,all
South Birmingham Primary Care Trust,south-birmingham-primary-care-trust,70,4,all
Darlington Borough Council,darlington-borough-council,70,30,all
Heart of England NHS Foundation Trust,heart-of-england-nhs-foundation-trust,70,19,all
Consumer Focus,consumer-focus,69,21,all
Defence Academy of the United Kingdom,defence-academy-of-the-united-kingdom,69,29,all
NHS Bristol,nhs-bristol,69,12,all
NHS Fylde and Wyre CCG,nhs-fylde-and-wyre-ccg,69,9,all
Salisbury NHS Foundation Trust,salisbury-nhs-foundation-trust,68,16,all
Newcastle Under Lyme Borough Council,newcastle-under-lyme-borough-council,67,21,all
South Tyneside Primary Care Trust,south-tyneside-primary-care-trust,67,7,all
The Royal Marsden NHS Foundation Trust,the-royal-marsden-nhs-foundation-trust,67,23,all
Wolverhampton City Primary Care Trust,wolverhampton-city-primary-care-trust,67,13,all
South Cambridgeshire District Council,south-cambridgeshire-district-council,67,2,all
One North East,one-north-east,67,7,all
Redcar & Cleveland Primary Care Trust,redcar-cleveland-primary-care-trust,66,9,all
Cornwall Council,cornwall-council,66,1,all
Kingston Primary Care Trust,kingston-primary-care-trust,66,8,all
Nottinghamshire Healthcare NHS Trust,nottinghamshire-healthcare-nhs-trust,66,20,all
Standards Board for England,standards-board-for-england,66,10,all
North Warwickshire Borough Council,north-warwickshire-borough-council,65,8,all
NHS Sefton,nhs-sefton,65,19,all
Royal College of Paediatrics & Child Health,royal-college-of-paediatrics-child-health,65,7,all
North East Lincolnshire Care Trust Plus,north-east-lincolnshire-care-trust-plus,65,6,all
National Patient Safety Agency,national-patient-safety-agency,65,20,all
NHS Hull CCG,nhs-hull-ccg,65,2,all
The Pensions Advisory Service,the-pensions-advisory-service,65,12,all
NHS Greater Preston CCG,nhs-greater-preston-ccg,65,4,all
NHS Devon,nhs-devon,64,2,all
University Hospitals of Leicester NHS Trust,university-hospitals-of-leicester-nhs-trust,64,7,all
"NHS Eastbourne, Hailsham and Seaford CCG",nhs-eastbourne-hailsham-and-seaford-ccg,64,2,all
NHS Wirral CCG,nhs-wirral-ccg,64,15,all
The John Innes Centre,the-john-innes-centre,64,28,all
CDC,community-development-corporation,64,12,all
NHS Coastal West Sussex CCG,nhs-coastal-west-sussex-ccg,63,4,all
NHS Bradford Districts CCG,nhs-bradford-districts-ccg,63,10,all
NHS Blackpool CCG,nhs-blackpool-ccg,62,3,all
The Ipswich Hospital NHS Trust,the-ipswich-hospital-nhs-trust,62,13,all
London Borough of Islington,london-borough-of-islington,62,22,all
Basingstoke and Deane Borough Council,basingstoke-and-deane-borough-council,62,14,all
South Central Ambulance Service NHS Trust,south-central-ambulance-service-nhs-trust,61,32,all
NHS Bradford City CCG,nhs-bradford-city-ccg,60,6,all
NHS East Lancashire CCG,nhs-east-lancashire-ccg,60,1,all
NHS North Derbyshire CCG,nhs-north-derbyshire-ccg,60,1,all
Broxtowe Borough Council,broxtowe-borough-council,60,2,all
Bromley PCT,bromley-pct,60,9,all
South Central Strategic Health Authority,south-central-strategic-health-authority,60,0,all
NHS Sandwell and West Birmingham CCG,nhs-sandwell-and-west-birmingham-ccg,60,9,all
Gloucester City Council,gloucester-city-council,59,9,all
South East Essex Primary Care Trust,south-east-essex-primary-care-trust,59,2,all
South Staffordshire and Shropshire Healthcare NHS Foundation Trust,south-staffordshire-and-shropshire-healthcare-nhs-foundation-trust,58,10,all
NHS Blackburn and Darwen CCG,nhs-blackburn-and-darwen-ccg,58,4,all
United Kingdom Environmental Observation Monitoring Programmes,united-kingdom-environmental-observation-monitoring-programmes,58,24,all
Central Midlands CSU,central-midlands-csu,58,4,all
Ealing Primary Care Trust,ealing-primary-care-trust,57,8,all
Babergh District Council,babergh-district-council,57,8,all
West Midlands Ambulance Service NHS Trust,west-midlands-ambulance-service-nhs-trust,57,14,all
"NHS Airedale, Wharfedale and Craven CCG",nhs-airedale-wharfedale-and-craven-ccg,57,6,all
Yorkshire Forward,yorkshire-forward,57,4,all
London Borough of Hillingdon,london-borough-of-hillingdon,56,8,all
Blaby District Council,blaby-district-council,56,9,all
NHS West Cheshire CCG,nhs-west-cheshire-ccg,56,5,all
NHS Havering,nhs-havering,55,29,all
Warrington Primary Care Trust,warrington-primary-care-trust,55,2,all
NHS Birmingham Cross City CCG,nhs-birmingham-cross-city-ccg,55,0,all
Oxfordshire Learning Disability NHS Trust,oxfordshire-learning-disability-nhs-trust,54,6,all
Great Western Ambulance Service NHS Trust,great-western-ambulance-service-nhs-trust,54,8,all
North Lancashire Teaching PCT,north-lancashire-teaching-pct,54,21,all
NHS Lancashire North CCG,nhs-lancashire-north-ccg,54,2,all
NHS Tameside & Glossop,nhs-tameside-glossop,53,1,all
Postal Services Commission,postal-services-commission,53,10,all
Winchester and Eastleigh Healthcare NHS Trust,winchester-and-eastleigh-healthcare-nhs-trust,53,3,all
NHS Somerset,nhs-somerset,53,2,all
NHS Nene CCG,nhs-nene-ccg,52,7,all
"Ashton, Leigh and Wigan Community Healthcare NHS Trust",ashton-leigh-and-wigan-community-healthcare-nhs-trust,52,5,all
Committee on Climate Change,committee-on-climate-change,52,11,all
South East Coast Ambulance Service,south-east-coast-ambulance-service,52,10,all
Oxfordshire Primary Care Trust,oxfordshire-primary-care-trust,52,9,all
London Borough of Bromley,london-borough-of-bromley,52,4,all
Walsall Teaching Primary Care Trust,walsall-teaching-primary-care-trust,52,13,all
Stockton-on-Tees Borough Council,stockton-on-tees-borough-council,51,24,all
NHS Hillingdon,nhs-hillingdon,51,5,all
Museums Libraries and Archives Council,museums-libraries-and-archives-council,50,2,all
NHS East and North Hertfordshire CCG,nhs-east-and-north-hertfordshire-ccg,50,10,all
Yorkshire Ambulance Service NHS Trust,yorkshire-ambulance-service-nhs-trust,50,11,all
NHS Scarborough and Ryedale CCG,nhs-scarborough-and-ryedale-ccg,50,12,all
NHS South East Coast,nhs-south-east-coast,49,3,all
Wakefield Metropolitan District Council,wakefield-metropolitan-district-council,48,3,all
Wyre Borough Council,wyre-borough-council,48,3,all
Marshall Aid Commemoration Commission,marshall-aid-commemoration-commission,48,5,all
Ashford and St. Peter's Hospitals NHS Trust,ashford-and-st-peters-hospitals-nhs-trust,48,3,all
Isle of Wight NHS Primary Care Trust,isle-of-wight-nhs-primary-care-trust,48,5,all
Lancashire Care NHS Foundation Trust,lancashire-care-nhs-foundation-trust,48,7,all
The Hillingdon Hospitals NHS Foundation Trust,the-hillingdon-hospitals-nhs-foundation-trust,47,7,all
National Heritage Memorial Fund,national-heritage-memorial-fund,47,1,all
South Northamptonshire Council,south-northamptonshire-council,47,7,all
Queen Victoria Hospital NHS Foundation Trust,queen-victoria-hospital-nhs-foundation-trust,46,7,all
Christchurch Borough Council,christchurch-borough-council,46,6,all
Milton Keynes Primary Care Trust,milton-keynes-primary-care-trust,46,7,all
NHS Surrey,nhs-surrey,46,7,all
NHS Milton Keynes CCG,nhs-milton-keynes-ccg,46,9,all
London Borough of Camden,london-borough-of-camden,46,2,all
University Hospitals of Morecambe Bay NHS Foundation Trust,university-hospitals-of-morecambe-bay-nhs-foundation-trust,45,11,all
Northumberland Care Trust,northumberland-care-trust,45,5,all
Medway Primary Care Trust,medway-primary-care-trust,45,4,all
NHS South Lincolnshire CCG,nhs-south-lincolnshire-ccg,45,5,all
London Borough of Merton,london-borough-of-merton,45,11,all
NHS North Lincolnshire CCG,nhs-north-lincolnshire-ccg,44,3,all
NHS Chorley and South Ribble CCG,nhs-chorley-and-south-ribble-ccg,44,1,all
Blackburn with Darwen Care Trust Plus,blackburn-with-darwen-care-trust-plus,44,6,all
NHS West Lancashire CCG,nhs-west-lancashire-ccg,44,0,all
NHS Wirral,nhs-wirral,43,3,all
Boston Borough Council,boston-borough-council,43,8,all
Charnwood Borough Council,charnwood-borough-council,43,2,all
Dudley Primary Care Trust,dudley-primary-care-trust,43,10,all
North Somerset Council,north-somerset-council,43,12,all
North Staffordshire Combined Healthcare NHS Trust,north-staffordshire-combined-healthcare-nhs-trust,43,8,all
NHS Islington,nhs-islington,43,1,all
Solihull Metropolitan Borough Council,solihull-metropolitan-borough-council,43,12,all
NHS Southport and Formby CCG,nhs-southport-and-formby-ccg,42,1,all
NHS Tameside and Glossop CCG,nhs-tameside-and-glossop-ccg,42,4,all
NHS Calderdale CCG,nhs-calderdale-ccg,42,1,all
West London Mental Health NHS Trust,west-london-mental-health-nhs-trust,42,7,all
NHS Warwickshire,nhs-warwickshire,41,7,all
NHS East Riding of Yorkshire CCG,nhs-east-riding-of-yorkshire-ccg,41,1,all
NHS Berkshire East,nhs-berkshire-east,41,4,all
Weston Area Health NHS Trust,weston-area-health-nhs-trust,41,9,all
Brent Primary Care Trust,brent-primary-care-trust,41,3,all
NHS Wakefield CCG,nhs-wakefield-ccg,40,3,all
NHS Warrington CCG,nhs-warrington-ccg,40,2,all
Tendring District Council,tendring-district-council,40,12,all
Corby Borough Council,corby-borough-council,40,10,all
NHS South Norfolk CCG,nhs-south-norfolk-ccg,40,3,all
NHS Aylesbury Vale CCG,nhs-aylesbury-vale-ccg,40,2,all
Great Yarmouth and Waveney Primary Care Trust,great-yarmouth-and-waveney-primary-care-trust,39,2,all
Fareham Borough Council,fareham-borough-council,39,8,all
Cumbria Primary Care Trust,cumbria-primary-care-trust,39,3,all
Office of the Advocate General of Scotland,office-of-the-advocate-general-of-scotland,39,13,all
NHS Bath & North East Somerset PCT,nhs-bath-north-east-somerset-pct,38,6,all
Society of Information Technology Management,society-of-information-technology-management,38,9,all
Mid Staffordshire NHS Foundation Trust,mid-staffordshire-nhs-foundation-trust,38,5,all
NHS Information Centre for Health and Social Care,nhs-information-centre-for-health-and-social-care,38,2,all
Barnet Primary Care Trust,barnet-primary-care-trust,38,4,all
Commonwealth Scholarship Commission in the UK,commonwealth-scholarship-commission-in-the-uk,37,5,all
"NHS Hambleton, Richmondshire and Whitby CCG",nhs-hambleton-richmondshire-and-whitby-ccg,37,1,all
Greater London Authority,greater-london-authority,37,7,all
Scarborough and North East Yorkshire Healthcare NHS Trust,scarborough-and-north-east-yorkshire-healthcare-nhs-trust,37,3,all
Cherwell District Council,cherwell-district-council,36,9,all
"NHS Ashton, Leigh and Wigan",nhs-ashton-leigh-and-wigan,36,3,all
Hartlepool Borough Council,hartlepool-borough-council,36,14,all
NHS Lincolnshire East CCG,nhs-lincolnshire-east-ccg,36,1,all
South West Essex PCT,south-west-essex-pct,36,0,all
West Dorset District Council,west-dorset-district-council,35,6,all
Solihull Primary Care Trust,solihull-primary-care-trust,35,4,all
Leasehold Advisory Service,leasehold-advisory-service,35,10,all
Wolverton and Greenleys Town Council,wolverton-and-greenleys-town-council,35,8,all
NHS Barking and Dagenham,nhs-barking-and-dagenham,35,6,all
NHS Leicester City,nhs-leicester-city,35,6,all
St Albans City and District Council,st-albans-city-and-district-council,34,5,all
NHS Bracknell and Ascot CCG,nhs-bracknell-and-ascot-ccg,34,1,all
NHS Blackpool,nhs-blackpool,34,2,all
Lancashire County Council,lancashire-county-council,33,1,all
Worcestershire Mental Health Partnership NHS Trust,worcestershire-mental-health-partnership-nhs-trust,33,6,all
NHS Bolton,nhs-bolton,33,5,all
NHS Harrogate and Rural District CCG,nhs-harrogate-and-rural-district-ccg,33,1,all
Scottish Consortium for Learning Disability,scottish-consortium-for-learning-disability,33,14,all
NHS High Weald Lewes Haven CCG,nhs-high-weald-lewes-haven-ccg,33,0,all
Chesterfield Borough Council,chesterfield-borough-council,32,2,all
Air Accident Investigation Branch,air-accident-investigation-branch,32,4,all
NHS Hastings and Rother CCG,nhs-hastings-and-rother-ccg,31,1,all
South Ribble Borough Council,south-ribble-borough-council,31,9,all
NHS East Cheshire CCG,nhs-east-cheshire-ccg,30,3,all
Richmond and Twickenham Primary Care Trust,richmond-and-twickenham-primary-care-trust,30,3,all
NHS Vale of York,nhs-vale-of-york,30,1,all
Newcastle City Council,newcastle-city-council,29,3,all
NHS Yorkshire and the Humber,nhs-yorkshire-and-the-humber,29,3,all
NHS Western Cheshire,nhs-western-cheshire,29,1,all
Southwark Primary Care Trust,southwark-primary-care-trust,29,5,all
NHS North East Essex,nhs-north-east-essex,29,3,all
Academics,academics,28,1,all
Trafford Healthcare NHS Trust,trafford-healthcare-nhs-trust,28,2,all
Darlington Primary Care Trust,darlington-primary-care-trust,28,2,all
Hereford Hospitals NHS Trust,hereford-hospitals-nhs-trust,28,1,all
Enfield Primary Care Trust,enfield-primary-care-trust,28,0,all
NHS Gloucestershire,nhs-gloucestershire,27,3,all
Chorley Council,chorley-council,27,9,all
Northern Ireland Cancer Registry,northern-ireland-cancer-registry,27,8,all
Independent Parliamentary Standards Authority,independent-parliamentary-standards-authority,27,6,all
HM Inspectorate of Probation,hm-inspectorate-of-probation,26,4,all
NHS Telford & Wrekin,nhs-telford-wrekin,26,2,all
Remploy Limited,remploy-limited,25,4,all
NHS Hammersmith and Fulham,nhs-hammersmith-and-fulham,25,2,all
NHS Eastern and Coastal Kent,nhs-eastern-and-coastal-kent,25,2,all
Peak District National Park Authority,peak-district-national-park-authority,25,5,all
NHS Trafford,nhs-trafford,25,0,all
Chichester District Council,chichester-district-council,24,8,all
NHS Lincolnshire West CCG,nhs-lincolnshire-west-ccg,24,0,all
NHS Wokingham CCG,nhs-wokingham-ccg,24,5,all
NHS North and West Reading CCG,nhs-north-and-west-reading-ccg,24,3,all
Trafford Council,trafford-council,24,7,all
NHS Crawley CCG,nhs-crawley-ccg,24,0,all
Maldon District Council,maldon-district-council,24,0,all
NHS South West Lincolnshire CCG,nhs-south-west-lincolnshire-ccg,23,0,all
Mid Sussex District Council,mid-sussex-district-council,23,5,all
Lincolnshire Primary Care Trust,lincolnshire-primary-care-trust,23,1,all
NHS Wandsworth,nhs-wandsworth,23,0,all
Torridge District Council,torridge-district-council,23,6,all
Sevenoaks District Council,sevenoaks-district-council,23,2,all
NHS Corby CCG,nhs-corby-ccg,23,1,all
Buckinghamshire Primary Care Trust,buckinghamshire-primary-care-trust,23,2,all
South Staffordshire Council,south-staffordshire-council,22,6,all
Royal Borough of Kingston upon Thames,royal-borough-of-kingston-upon-thames,22,8,all
NHS Redbridge,nhs-redbridge,22,4,all
Wakefield District Primary Care Trust,wakefield-district-primary-care-trust,22,4,all
Nottinghamshire County Teaching Primary Care Trust,nottinghamshire-county-teaching-primary-care-trust,22,4,all
Uttlesford District Council,uttlesford-district-council,22,5,all
NHS Coventry,nhs-coventry,22,6,all
Marine Accident Investigation Branch,marine-accident-investigation-branch,21,2,all
NHS Bolton CCG,nhs-bolton-ccg,21,1,all
NHS Newbury and District CCG,nhs-newbury-and-district-ccg,21,1,all
General Register Office for Scotland,general-register-office-for-scotland,21,4,all
Bexley Care Trust,bexley-care-trust,20,4,all
NHS South Gloucestershire,nhs-south-gloucestershire,20,3,all
NHS East Lancashire,nhs-east-lancashire,19,1,all
NHS Dorset,nhs-dorset,19,1,all
NHS Oxfordshire CCG,nhs-oxfordshire-ccg,19,1,all
Stevenage Borough Council,stevenage-borough-council,19,3,all
North Yorkshire County Council,north-yorkshire-county-council,19,9,all
Canterbury City Council,canterbury-city-council,19,5,all
Newquay Town Council,newquay-town-council,19,2,all
St Edmundsbury Borough Council,st-edmundsbury-borough-council,18,5,all
Stockton Primary Care Trust,stockton-primary-care-trust,18,1,all
South Holland District Council,south-holland-district-council,18,7,all
Westminster Foundation for Democracy,westminster-foundation-for-democracy,17,2,all
Lambeth Primary Care Trust,lambeth-primary-care-trust,16,2,all
Coventry Primary Care Trust,coventry-primary-care-trust,16,0,all
East Lindsey District Council,east-lindsey-district-council,16,1,all
NHS Chiltern CCG,nhs-chiltern-ccg,15,1,all
Nottinghamshire County Council,nottinghamshire-county-council,15,0,all
Local Government Association,local-government-association,15,3,all
Local Better Regulation Office,local-better-regulation-office,15,2,all
"NHS Windsor, Ascot & Maidenhead CCG",nhs-windsor-ascot-maidenhead-ccg,14,1,all
NHS St Helens CCG,nhs-st-helens-ccg,14,1,all
Local Authorities,local-authorities,13,0,all
Bridgend County Borough Council,bridgend-county-borough-council,13,4,all
South Kesteven District Council,south-kesteven-district-council,13,0,all
NHS Bradford and Airedale,nhs-bradford-and-airedale,13,2,all
Herefordshire Primary Care Trust,herefordshire-primary-care-trust,13,1,all
Cornwall and Isles of Scilly Community Health Services,cornwall-and-isles-of-scilly-community-health-services,12,2,all
NHS Harrow,nhs-harrow,12,2,all
NHS Horsham and Mid Sussex CCG,nhs-horsham-and-mid-sussex-ccg,11,0,all
British Film Institute,british-film-institute,10,0,all
NHS South Reading CCG,nhs-south-reading-ccg,10,0,all
Taunton and Somerset NHS Foundation Trust,taunton-and-somerset-nhs-foundation-trust,9,0,all
North Staffordshire Shared Services,north-staffordshire-shared-services,8,0,all
Purbeck District Council,purbeck-district-council,8,1,all
East Dorset District Council,east-dorset-district-council,6,0,all
National Institute for Health and Clinical Excellence,national-institute-for-health-and-clinical-excellence,5,1,all
Forest Heath District Council,forest-heath-district-council,5,1,all
Geography and Technology,geography-and-technology,2,0,all
