Dataset Title,Dataset Name,Referred Visits,Period Name
Government CloudStore catalogue,cloudstore_catalogue_version,1674,2012-07
Abandoned Shopping Trolleys in Bristol rivers,abandoned-shopping-trolleys-bristol-rivers,930,2012-07
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,341,2012-07
"Neighbourhood Statistics: Mental Health – adults accessing NHS specialist mental health services, England",neighbourhood_statistics-mental_health_adults_accessing_nhs_specialist_mental_health_services_englan,240,2012-07
Code-Point® Open ,os-code-point-open,186,2012-07
Accessibility Destination Datasets,accessibility-destination-datasets,248,2012-08
Government CloudStore catalogue,cloudstore_catalogue_version,248,2012-08
National Pupil Database,national-pupil-database,240,2012-08
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,155,2012-08
"Spend over £25,000 in the Ministry of Justice",financial-transactions-data-moj,155,2012-08
Police Force Boundaries - England and Wales,police-force-boundaries-england-and-wales,638,2012-09
Combined Online Information System,coins,496,2012-09
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,310,2012-09
Government CloudStore catalogue,cloudstore_catalogue_version,217,2012-09
National Public Transport Access Nodes (NaPTAN),naptan,186,2012-09
Organogram and staff pay data for Directly Operated Railways,organogram-directly-operated-railways,527,2012-10
Network Rail - railway network Inspire data,railway-network-inspire,465,2012-10
Code-Point® Open ,os-code-point-open,465,2012-10
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,341,2012-10
Roadside survey of vehicle observations,roadside-survey-of-vehicles,217,2012-10
Organogram and staff pay data for Directly Operated Railways,organogram-directly-operated-railways,1426,2012-11
GP practice prescribing data - Chemical level,gp-practice-prescribing-data,930,2012-11
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,496,2012-11
Drugs Misuse Statistics Scotland,drugs_misuse_statistics_scotland,217,2012-11
Code-Point® Open ,os-code-point-open,217,2012-11
GP practice prescribing data - Chemical level,gp-practice-prescribing-data,2852,2012-12
"Spend Over £25,000 in the East of England Ambulance Service NHS Trust",eeast-financial-transactions-over-25k,2523,2012-12
"Spend over £25,000 in the Crown Prosecution Service",financial-transactions-data-ago-cps,558,2012-12
Government construction pipeline,government-construction-pipeline,540,2012-12
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,496,2012-12
Motoring offences and breath test statistics,motoring_offences_and_breath_test_statistics,837,2013-01
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,372,2013-01
Code-Point® Open ,os-code-point-open,310,2013-01
Car Parks,car-parks,310,2013-01
Sex and approximated social grade by age,sex_and_approximated_social_grade_by_age,310,2013-01
National Public Transport Access Nodes (NaPTAN),naptan,1643,2013-02
English Indices of Deprivation 2010,index-of-multiple-deprivation,806,2013-02
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,682,2013-02
Hillsborough Disclosure document index,hillsborough-disclosure,513,2013-02
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,434,2013-02
Disability Living Allowance (DLA),disability_living_allowance_dla,1147,2013-03
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,713,2013-03
Workforce Management Information - Department for Work and Pensions,workforce_management_information_dwp,667,2013-03
Code-Point® Open ,os-code-point-open,527,2013-03
Car Parks,car-parks,403,2013-03
Disability Living Allowance (DLA),disability_living_allowance_dla,4030,2013-04
Land Registry Dataset Inventory,land-registry-dataset-inventory,1892,2013-04
Code-Point® Open,code-point-open,775,2013-04
Road Safety Data,road-accidents-safety-data,713,2013-04
English Indices of Deprivation 2010,index-of-multiple-deprivation,589,2013-04
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,713,2013-05
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,465,2013-05
Road Safety Data,road-accidents-safety-data,372,2013-05
Code-Point® Open ,os-code-point-open,310,2013-05
Child Support Agency Quarterly Summary of Statistics,child_support_agency_quarterly_summary_of_statistics,300,2013-05
National Register of Social Housing (NROSH),national-register-of-social-housing-nrosh,600,2013-06
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,496,2013-06
Code-Point® Open ,os-code-point-open,403,2013-06
Quarterly bus statistics,quarterly_bus_statistics,392,2013-06
UK Public Libraries contacts,uk-public-library-contacts-14032012,372,2013-06
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,1674,2013-07
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,651,2013-07
Court Martial Results from the Military Court Centres,court_martial_results_military_courts,558,2013-07
Code-Point® Open ,os-code-point-open,496,2013-07
Car Parks,car-parks,310,2013-07
Bona Vacantia Unclaimed Estates and Adverts,bona-vacantia-estates-advertisements,7525,2013-08
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,744,2013-08
Code-Point® Open ,os-code-point-open,589,2013-08
Government construction pipeline,government-construction-pipeline,567,2013-08
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,558,2013-08
Ratio of median house price to median earnings,ratio-of-median-house-price-to-median-earnings,7378,2013-09
Bona Vacantia Unclaimed Estates and Adverts,bona-vacantia-estates-advertisements,1050,2013-09
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,651,2013-09
"Senior Officials expenses,travel and hospitality in DWP",senior-officials-expenses-travel-and-hospitality-in-dwp,552,2013-09
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,434,2013-09
Ratio of median house price to median earnings,ratio-of-median-house-price-to-median-earnings,23560,2013-10
BLF Grants Data 2004 onwards,blf-grants-data-2004-onwards,2070,2013-10
Bona Vacantia Unclaimed Estates and Adverts,bona-vacantia-estates-advertisements,875,2013-10
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,744,2013-10
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,527,2013-10
Code-Point® Open,code-point-open,1519,2013-11
Collections database,collections-database,1275,2013-11
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,806,2013-11
Road Safety Data,road-accidents-safety-data,713,2013-11
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,682,2013-11
Register of quota holdings Fixed Quota Allocation (FQA register),register-of-quota-holdings-fixed-quota-allocation-fqa-register,1184,2013-12
Code-Point® Open,code-point-open,806,2013-12
Broadband coverage,broadband-coverage,784,2013-12
Road Safety Data,road-accidents-safety-data,589,2013-12
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,527,2013-12
Lower Layer SOA (with names) - Standard Table Ward - Local Authority: Lookup Table,lower_layer_soa_with_names_-_standard_table_ward_-_local_authority_-_lookup_table,6820,2014-01
Ratio of median house price to median earnings,ratio-of-median-house-price-to-median-earnings,5704,2014-01
Combined Online Information System,coins,527,2014-01
Code-Point® Open ,os-code-point-open,527,2014-01
Funding Year Values,funding-year-values,476,2014-01
Land use statistics (Generalised Land Use Database),land_use_statistics_generalised_land_use_database,1519,2014-02
Bona Vacantia Unclaimed Estates and Adverts,bona-vacantia-estates-advertisements,750,2014-02
Combined Online Information System,coins,527,2014-02
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,496,2014-02
Code-Point® Open ,os-code-point-open,496,2014-02
Abandoned Shopping Trolleys in Bristol rivers,abandoned-shopping-trolleys-bristol-rivers,900,2014-03
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,713,2014-03
Code-Point® Open ,os-code-point-open,682,2014-03
Live traffic information from the Highways Agency,live-traffic-information-from-the-highways-agency-road-network,682,2014-03
Road Safety Data,road-accidents-safety-data,496,2014-03
Abandoned Shopping Trolleys in Bristol rivers,abandoned-shopping-trolleys-bristol-rivers,1140,2014-04
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,744,2014-04
Allocation of science and research funding 2011/12 to 2014/15,allocation-of-science-and-research-funding-2011-12-to-2014-15,638,2014-04
Road Safety Data,road-accidents-safety-data,620,2014-04
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,589,2014-04
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,961,2014-05
Live traffic information from the Highways Agency,live-traffic-information-from-the-highways-agency-road-network,620,2014-05
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,527,2014-05
Combined Online Information System,coins,496,2014-05
Code-Point® Open ,os-code-point-open,465,2014-05
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,1116,2014-06
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,837,2014-06
Land use statistics (Generalised Land Use Database),land_use_statistics_generalised_land_use_database,310,2014-06
Code-Point® Open ,os-code-point-open,310,2014-06
Road Safety Data,road-accidents-safety-data,217,2014-06
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,837,2014-07
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,651,2014-07
Road Safety Data,road-accidents-safety-data,403,2014-07
Code-Point® Open ,os-code-point-open,341,2014-07
Land use statistics (Generalised Land Use Database),land_use_statistics_generalised_land_use_database,279,2014-07
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,961,2014-08
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,589,2014-08
Car Parks,car-parks,434,2014-08
Live traffic information from the Highways Agency,live-traffic-information-from-the-highways-agency-road-network,372,2014-08
"Ambulance Services, England",ambulance_services_england,341,2014-08
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,775,2014-09
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,682,2014-09
GH Wine Cellar data,gh-wine-cellar-data_2,416,2014-09
Code-Point® Open ,os-code-point-open,403,2014-09
Road Safety Data,road-accidents-safety-data,341,2014-09
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,1054,2014-10
Road Safety Data,road-accidents-safety-data,899,2014-10
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,682,2014-10
Car Parks,car-parks,372,2014-10
Land use statistics (Generalised Land Use Database),land_use_statistics_generalised_land_use_database,310,2014-10
Road Safety Data,road-accidents-safety-data,1333,2014-11
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,868,2014-11
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,620,2014-11
Car Parks,car-parks,558,2014-11
Land use statistics (Generalised Land Use Database),land_use_statistics_generalised_land_use_database,465,2014-11
Road Safety Data,road-accidents-safety-data,155,2014-12
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,155,2014-12
Live traffic information from the Highways Agency,live-traffic-information-from-the-highways-agency-road-network,93,2014-12
Immigration Statistics: settlement,immigration-statistics-settlement,81,2014-12
CCG Prescribing Data,ccg_prescribing_data,34,2014-12
Ratio of median house price to median earnings,ratio-of-median-house-price-to-median-earnings,37727,All
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,17608,All
3 hourly weather forecast and observational data - UK locations,metoffice_uklocs3hr_fc,13175,All
Bona Vacantia Unclaimed Estates and Adverts,bona-vacantia-estates-advertisements,12875,All
Code-Point® Open ,os-code-point-open,10478,All
